DR,Date_Rept,Monthstamp,Yearstamp,Block
1717529,12/8/2017,12,2017,300 Blk DEERFIELD
1805322,4/18/2018,4,2018,100 Blk EXETER
1808697,6/25/2018,6,2018,0 Blk PROCLAMATION WAY
1808851,6/28/2018,6,2018,600 Blk CARDIFF
1812071,8/30/2018,8,2018,0 Blk PALATINE
1814956,10/26/2018,10,2018,3300 Blk MICHELSON DR
1814959,10/26/2018,10,2018,0 Blk WELLESLEY
1900119,1/3/2019,1,2019,100 Blk CARMINE
1900134,1/3/2019,1,2019,0 Blk SACRED PATH
1900202,1/4/2019,1,2019,18200 Blk ANSEL
1900223,1/5/2019,1,2019,0 Blk LEMON GROVE
1980107,3/13/2019,3,2019,7700 Blk GATEWAY
1903560,3/15/2019,3,2019,3800 Blk PARKVIEW LN
1980289,5/1/2019,5,2019,400 Blk GIOTTO
1906008,5/4/2019,5,2019,0 Blk PACIFICA
1114305,10/8/2011,10,2011,5000 Blk CINNAMON
1118122,12/24/2011,12,2011,0 Blk BAMBOO
1118164,12/26/2011,12,2011,0 Blk SKYWARD
1217441,12/21/2012,12,2012,0 Blk ELIZABETH LN
1303382,3/18/2013,3,2013,0 Blk BORMES
1303395,3/18/2013,3,2013,#VALUE!
1310431,8/11/2013,8,2013,100 Blk ROCKVIEW
1404388,4/9/2014,4,2014,0 Blk BRINDISI
1404475,4/11/2014,4,2014,500 Blk TULAROSA
1407998,6/26/2014,6,2014,0 Blk ATHERTON
1415124,12/1/2014,12,2014,200 Blk TURTLE CREST DR
1505528,4/22/2015,4,2015,0 Blk SACRED PATH
1505541,4/22/2015,4,2015,0 Blk BUELLTON
1505557,4/23/2015,4,2015,0 Blk ALTEZZA
1505641,4/24/2015,4,2015,15100 Blk NORMANDIE AVE
1509196,6/27/2015,6,2015,1900 Blk PIEDMONT
1512984,9/10/2015,9,2015,15400 Blk EIFFEL CIR
1604783,3/26/2016,3,2016,200 Blk BERKELEY
1604784,3/26/2016,3,2016,9100 Blk SPECTRUM
1604841,3/27/2016,3,2016,0 Blk SHEPARD
1608489,5/31/2016,5,2016,0 Blk MARBLEHEAD
1615936,10/17/2016,10,2016,400 Blk PAYTON
1619390,12/22/2016,12,2016,0 Blk DISTANT STAR
1619408,12/23/2016,12,2016,100 Blk ROSE ARCH
1619413,12/23/2016,12,2016,800 Blk PICCOLO
1619419,12/23/2016,12,2016,0 Blk DISTANT STAR
1703061,3/3/2017,3,2017,1400 Blk ANACAPA
1703106,3/3/2017,3,2017,0 Blk BLUE RDG
1706745,5/11/2017,5,2017,0 Blk LINHAVEN
1706780,5/12/2017,5,2017,3700 Blk PROVINCETOWN AVE
1706793,5/12/2017,5,2017,0 Blk LACONIA
1706835,5/13/2017,5,2017,0 Blk HAYES
1706890,5/14/2017,5,2017,200 Blk CULTIVATE
1710271,7/17/2017,7,2017,100 Blk FOLLYHATCH
1713457,9/18/2017,9,2017,600 Blk STANFORD
1713551,9/20/2017,9,2017,300 Blk LAS PALMAS
1716534,11/18/2017,11,2017,300 Blk DEERFIELD
1716624,11/20/2017,11,2017,0 Blk NATURE
1801577,2/1/2018,2,2018,0 Blk MILLSTONE
1808462,6/20/2018,6,2018,0 Blk TALL CEDARS
1808479,6/20/2018,6,2018,200 Blk RODEO
1811626,8/22/2018,8,2018,3600 Blk ORANGEWOOD
1811751,8/24/2018,8,2018,0 Blk ZEPHYR
1817919,12/27/2018,12,2018,100 Blk SALMON
1817980,12/28/2018,12,2018,0 Blk WOODS TRL
1818037,12/30/2018,12,2018,0 Blk FIELD POPPY
1818077,12/31/2018,12,2018,100 Blk SALMON
1980297,5/3/2019,5,2019,0 Blk LAKETRAIL
1980302,5/4/2019,5,2019,2500 Blk ALTON PKWY
1107360,5/26/2011,5,2011,0 Blk WEATHERSFIELD
1117988,12/22/2011,12,2011,100 Blk LAMPLIGHTER
1118057,12/23/2011,12,2011,0 Blk NATURE
1118079,12/23/2011,12,2011,100 Blk TREEHOUSE
1217652,12/28/2012,12,2012,100 Blk ORANGE BLOSSOM
1303493,3/20/2013,3,2013,3700 Blk BARRANCA PKWY
1307049,6/4/2013,6,2013,400 Blk MONROE
1307131,6/6/2013,6,2013,0 Blk PACIFIC CREST
1307195,6/7/2013,6,2013,0 Blk CHEYENNE
1307196,6/7/2013,6,2013,0 Blk FOXBORO
1307227,6/8/2013,6,2013,0 Blk SOARING HAWK
1314140,11/1/2013,11,2013,0 Blk EASTMONT
1401041,1/26/2014,1,2014,0 Blk CORNWALLIS
1401116,1/28/2014,1,2014,0 Blk MARIPOSA
1412004,9/23/2014,9,2014,600 Blk TULAROSA
1412079,9/24/2014,9,2014,0 Blk APRILLA
1415495,12/9/2014,12,2014,0 Blk MOUNT VERNON
1415542,12/10/2014,12,2014,0 Blk KAZAN ST
1415593,12/11/2014,12,2014,200 Blk CORAL ROSE
1502642,2/23/2015,2,2015,0 Blk JASPER
1502711,2/24/2015,2,2015,0 Blk REVIVAL
1506198,5/5/2015,5,2015,0 Blk MEADOW GLN
1506269,5/6/2015,5,2015,14600 Blk DONCASTER RD
1506359,5/8/2015,5,2015,100 Blk YELLOW DAISY
1513624,9/22/2015,9,2015,0 Blk OPUS
1517334,12/1/2015,12,2015,2300 Blk TIMBERWOOD
1601858,2/2/2016,2,2016,0 Blk PALMIERI AISLE
1602022,2/5/2016,2,2016,900 Blk LAS PALMAS
1602032,2/5/2016,2,2016,0 Blk SEDGEWICK
1605549,4/8/2016,4,2016,0 Blk CHANTILLY
1605601,4/9/2016,4,2016,0 Blk OAKHURST RD
1609305,6/15/2016,6,2016,0 Blk SACRED PATH
1609314,6/15/2016,6,2016,0 Blk WINTERHAVEN
1609366,6/16/2016,6,2016,0 Blk PALATINE
1609399,6/17/2016,6,2016,0 Blk PALATINE
1612871,8/22/2016,8,2016,100 Blk GITANO
1612946,8/23/2016,8,2016,0 Blk AMORET DR
1616423,10/26/2016,10,2016,0 Blk LEMON GROVE
1616575,10/28/2016,10,2016,0 Blk SORENSON
1703400,3/9/2017,3,2017,2500 Blk KELVIN AVE
1709869,7/8/2017,7,2017,0 Blk RAVENDALE
1713242,9/13/2017,9,2017,700 Blk FAMILY TREE
1716288,11/13/2017,11,2017,0 Blk ARBOLES
1716472,11/16/2017,11,2017,0 Blk KAZAN ST
1801256,1/26/2018,1,2018,0 Blk DEER CRK
1801263,1/26/2018,1,2018,4100 Blk BELVEDERE ST
1801276,1/26/2018,1,2018,0 Blk CAMPANERO W
1801309,1/27/2018,1,2018,2200 Blk MARTIN
1808016,6/11/2018,6,2018,0 Blk DUANE
1814873,10/25/2018,10,2018,0 Blk PEACEVINE
1900287,1/6/2019,1,2019,100 Blk SPECKLED ALDER
1900311,1/7/2019,1,2019,0 Blk ELIZABETH LN
1900319,1/7/2019,1,2019,0 Blk PERGOLA
1900325,1/7/2019,1,2019,0 Blk MONROE
1900376,1/8/2019,1,2019,0 Blk WESTON
1900415,1/9/2019,1,2019,2300 Blk WATERMARKE PL
1900431,1/9/2019,1,2019,0 Blk PALATINE
1980325,5/9/2019,5,2019,17100 Blk MILLIKAN
1980333,5/13/2019,5,2019,0 Blk TIDEWATER
1109658,7/9/2011,7,2011,0 Blk GARZONI AISLE
1116398,11/18/2011,11,2011,0 Blk GLENHAVEN LN
1116574,11/22/2011,11,2011,0 Blk IVANHOE
1212606,9/13/2012,9,2012,11200 Blk MIRASOL
1215875,11/16/2012,11,2012,0 Blk DIAMANTE
1308840,7/10/2013,7,2013,0 Blk HIGHLAND VW
1316149,12/19/2013,12,2013,0 Blk BULL RUN
1316167,12/20/2013,12,2013,0 Blk CONSERVANCY
1403407,3/18/2014,3,2014,0 Blk FAITH
1403449,3/19/2014,3,2014,800 Blk QUAIL MEADOW
1407099,6/7/2014,6,2014,0 Blk COMISO
1414004,11/5/2014,11,2014,0 Blk GREENBOUGH
1414021,11/5/2014,11,2014,15200 Blk NORMANDIE AVE
1414080,11/7/2014,11,2014,0 Blk IMPERIALE AISLE
1501311,1/28/2015,1,2015,100 Blk AMBIANCE
1501333,1/29/2015,1,2015,100 Blk PENDIO
1501376,1/30/2015,1,2015,0 Blk DESERT WILLOW
1501440,1/31/2015,1,2015,0 Blk SPLENDOR
1501459,1/31/2015,1,2015,0 Blk OVERBROOK
1504830,4/9/2015,4,2015,0 Blk STRAWBERRY GROVE
1504894,4/10/2015,4,2015,0 Blk LE VANTO
1504881,4/10/2015,4,2015,500 Blk TROPEA AISLE
1505027,4/13/2015,4,2015,400 Blk SANTA LOUISA
1508440,6/13/2015,6,2015,0 Blk FULL MOON
1508593,6/16/2015,6,2015,0 Blk NATIVE TRAILS
1511861,8/18/2015,8,2015,0 Blk OLYMPUS
1511890,8/19/2015,8,2015,900 Blk VENETO
1511921,8/19/2015,8,2015,5200 Blk IRVINE BLVD
1514566,10/10/2015,10,2015,0 Blk CALAIS
1518066,12/14/2015,12,2015,0 Blk DEER TRACK
1518044,12/14/2015,12,2015,200 Blk TROPEA AISLE
1518093,12/15/2015,12,2015,0 Blk SKYWARD
1518101,12/15/2015,12,2015,100 Blk PINEVIEW
1518102,12/15/2015,12,2015,0 Blk ROBINS TREE LN
1518144,12/14/2015,12,2015,200 Blk MURICA AISLE
1518147,12/16/2015,12,2015,0 Blk EASTSHORE
1518211,12/17/2015,12,2015,600 Blk SOLVAY AISLE
1518265,12/18/2015,12,2015,1400 Blk SOLVAY AISLE
1518279,12/18/2015,12,2015,0 Blk SALVIATI AISLE
1602786,2/18/2016,2,2016,0 Blk WATERLEAF
1609973,6/27/2016,6,2016,100 Blk VENETO
1613659,9/6/2016,9,2016,1200 Blk VISIONS
1617200,11/9/2016,11,2016,0 Blk STATUARY
1617211,11/10/2016,11,2016,7000 Blk BARRANCA PKWY
1700945,1/20/2017,1,2017,400 Blk SANTA LOUISA
1704702,4/4/2017,4,2017,0 Blk DISCOVERY
1708357,6/9/2017,6,2017,0 Blk BRENA
1708362,6/9/2017,6,2017,13800 Blk SOLITAIRE WAY
1708363,6/9/2017,6,2017,13800 Blk SOLITAIRE WAY
1715959,11/6/2017,11,2017,300 Blk DEERFIELD
1716017,11/7/2017,11,2017,300 Blk BRONZE
1716071,11/8/2017,11,2017,0 Blk PALATINE
1716072,11/8/2017,11,2017,0 Blk PALATINE
1800937,1/20/2018,1,2018,0 Blk ALTEZZA
1803038,3/2/2018,3,2018,200 Blk GREAT LAWN
1803157,3/4/2018,3,2018,5200 Blk ARCHWAY
1803215,3/5/2018,3,2018,0 Blk LAKEFRONT
1806608,5/14/2018,5,2018,0 Blk ENSUENO E
1806611,5/14/2018,5,2018,2800 Blk KELVIN AVE
1809136,7/3/2018,7,2018,0 Blk RISING SUN
1809236,7/5/2018,7,2018,3300 Blk MICHELSON DR
1809301,7/7/2018,7,2018,200 Blk CULTIVATE
1813126,9/20/2018,9,2018,0 Blk LEE
1815767,11/12/2018,11,2018,0 Blk BLUE SUMMIT
1900682,1/14/2019,1,2019,0 Blk BRINDISI
1900757,1/16/2019,1,2019,3300 Blk MICHELSON DR
1900769,1/16/2019,1,2019,1300 Blk CRESTED BIRD
1900773,1/16/2019,1,2019,200 Blk SAN LEON
1980099,3/8/2019,3,2019,200 Blk PICCOLO
1980101,3/10/2019,3,2019,0 Blk ALTEZZA
1980103,3/11/2019,3,2019,13200 Blk SPECTRUM
1903404,3/9/2019,3,2019,0 Blk ALTEZZA
1980336,5/14/2019,5,2019,4300 Blk PIONEER ST
1980338,5/14/2019,5,2019,15200 Blk MONTPELLIER AVE
1980340,5/15/2019,5,2019,100 Blk FIXIE
1980346,5/16/2019,5,2019,0 Blk MIDDLEBURY LN
1102024,2/10/2011,2,2011,900 Blk SOMERVILLE
1112938,9/11/2011,9,2011,0 Blk APPLEGLEN DR
1201413,1/30/2012,1,2012,0 Blk THORN HILL
1201469,1/31/2012,1,2012,0 Blk S SANTA TERESITA
1212155,9/5/2012,9,2012,100 Blk TAROCCO
1305022,4/23/2013,4,2013,0 Blk WATER LILY
1305020,4/23/2013,4,2013,0 Blk PALATINE
1308725,7/8/2013,7,2013,100 Blk MARBLEHEAD
1410382,8/18/2014,8,2014,6100 Blk MIRASOL
1410556,8/22/2014,8,2014,500 Blk WYCLIFFE
1414278,11/12/2014,11,2014,0 Blk E YALE LOOP
1503554,3/13/2015,3,2015,0 Blk COLERIDGE
1503695,3/16/2015,3,2015,0 Blk ACORN GLEN
1507156,5/22/2015,5,2015,0 Blk DEWEY
1514779,10/14/2015,10,2015,3200 Blk LADRILLO AISLE
1514802,10/14/2015,10,2015,300 Blk BERKSHIRE
1514839,10/15/2015,10,2015,500 Blk CANTOR
1514844,10/15/2015,10,2015,0 Blk MORNINGDALE
1518289,12/18/2015,12,2015,700 Blk LAS PALMAS
1518296,12/18/2015,12,2015,0 Blk CHOATE
1518319,12/19/2015,12,2015,0 Blk SALVO
1518415,12/21/2015,12,2015,0 Blk GRAMERCY
1518445,12/22/2015,12,2015,0 Blk CLAY
1518482,12/22/2015,12,2015,600 Blk SIMPLICITY
1603325,2/27/2016,2,2016,0 Blk CAMPANERO E
1603372,2/28/2016,2,2016,0 Blk PHOTINIA
1606971,5/4/2016,5,2016,4300 Blk VALE ST
1607072,5/5/2016,5,2016,0 Blk SPLENDOR
1607096,5/6/2016,5,2016,0 Blk AVONDALE
1607111,5/6/2016,5,2016,100 Blk CONFEDERATION WAY
1618304,12/2/2016,12,2016,17500 Blk NEWARK CIR
1702037,2/10/2017,2,2017,0 Blk REVERE
1705616,4/21/2017,4,2017,0 Blk OROVILLE
1705633,4/21/2017,4,2017,100 Blk STANFORD
1705700,4/22/2017,4,2017,0 Blk LINHAVEN
1705751,4/23/2017,4,2017,0 Blk CHANTILLY
1705779,4/24/2017,4,2017,300 Blk SAN LEON
1710864,7/28/2017,7,2017,0 Blk SHARPSBURG
1714032,9/29/2017,9,2017,100 Blk CORNELL
1717050,11/29/2017,11,2017,0 Blk GABLES
1717151,12/1/2017,12,2017,100 Blk BRAMBLES
1801830,2/6/2018,2,2018,0 Blk GILLMAN ST
1801916,2/8/2018,2,2018,100 Blk BREAKWATER
1801925,2/8/2018,2,2018,100 Blk DAMSEL
1801969,2/10/2018,2,2018,0 Blk ASBURY
1801985,2/10/2018,2,2018,100 Blk VELVETLEAF
1804794,4/6/2018,4,2018,16800 Blk JAMBOREE RD
1808079,6/12/2018,6,2018,0 Blk DELAMESA W
1815075,10/29/2018,10,2018,0 Blk HARVEST
1815234,11/1/2018,11,2018,400 Blk ORANGE BLOSSOM
1815243,11/1/2018,11,2018,3400 Blk LADRILLO AISLE
1815249,11/1/2018,11,2018,0 Blk CRABAPPLE
1900464,1/10/2019,1,2019,100 Blk SALMON
1900512,1/11/2019,1,2019,0 Blk HUCKLEBERRY
1900520,1/11/2019,1,2019,200 Blk MAGNET
1900669,1/14/2019,1,2019,4000 Blk LOMA ST
1900672,1/14/2019,1,2019,0 Blk CORTLAND
1903918,3/22/2019,3,2019,3300 Blk MICHELSON DR
1980140,3/21/2019,3,2019,0 Blk OXFORD
1980358,5/21/2019,5,2019,4900 Blk IRVINE BLVD
1980361,5/21/2019,5,2019,1200 Blk SPECTRUM
1112465,9/1/2011,9,2011,100 Blk TOPAZ
1112500,9/2/2011,9,2011,0 Blk WINTERFIELD RD
1205079,4/16/2012,4,2012,0 Blk DEL LIVORNO
1212234,9/6/2012,9,2012,0 Blk FILLMORE
1212259,9/7/2012,9,2012,2500 Blk MAIN ST
1216142,11/24/2012,11,2012,0 Blk STOWE
1216278,11/27/2012,11,2012,3200 Blk SPECTRUM
1301884,2/14/2013,2,2013,0 Blk BUCKEYE
1301732,2/9/2013,2,2013,13200 Blk JAMBOREE
1313205,10/12/2013,10,2013,0 Blk NIGHT BLOOM
1400502,1/13/2014,1,2014,0 Blk APRILLA
1407845,6/23/2014,6,2014,0 Blk DEER CRK
1414878,11/25/2014,11,2014,500 Blk CARDIFF
1414902,11/26/2014,11,2014,5000 Blk ALTON PKWY
1414925,11/26/2014,11,2014,0 Blk ROCKWREN
1414927,11/26/2014,11,2014,0 Blk NEW JERSEY
1501931,2/9/2015,2,2015,0 Blk VIA LUCCA
1505786,4/27/2015,4,2015,0 Blk STONEWOOD
1505795,4/27/2015,4,2015,0 Blk ROSE ARCH
1505822,4/28/2015,4,2015,0 Blk TIMBERLINE
1505896,4/29/2015,4,2015,100 Blk FIREFLY
1509377,7/1/2015,7,2015,300 Blk SILK TREE
1509395,7/2/2015,7,2015,0 Blk APPOMATTOX
1516728,11/19/2015,11,2015,4100 Blk REYES ST
1612553,8/15/2016,8,2016,1300 Blk ESPERANZA
1615963,10/17/2016,10,2016,0 Blk DARLINGTON
1619703,12/30/2016,12,2016,100 Blk WILLOWBEND
1619707,12/30/2016,12,2016,100 Blk W YALE LOOP
1619717,12/30/2016,12,2016,0 Blk CRESTHAVEN
1700011,1/1/2017,1,2017,0 Blk GOLDENGLOW ST
1700114,1/3/2017,1,2017,22300 Blk ANSEL
1703633,3/14/2017,3,2017,0 Blk WHITE BLOSSOM
1707187,5/19/2017,5,2017,200 Blk SHELBOURNE
1707197,5/19/2017,5,2017,1100 Blk QUAIL RDG
1707244,5/20/2017,5,2017,100 Blk RODEO
1707256,5/20/2017,5,2017,100 Blk ALMADOR
1707329,5/22/2017,5,2017,17300 Blk VIRTUOSO
1707346,5/22/2017,5,2017,0 Blk PALATINE
1710505,7/21/2017,7,2017,700 Blk CANTOR
1713667,9/22/2017,9,2017,100 Blk WALKINGSTICK
1801663,2/3/2018,2,2018,3500 Blk MYRTLE ST
1801678,2/3/2018,2,2018,19300 Blk TELMO
1801776,2/5/2018,2,2018,0 Blk CACTUS FLOWER
1801777,2/6/2018,2,2018,0 Blk ACORN GLEN
1801786,2/5/2018,2,2018,100 Blk MOUNTAIN VIOLET
1805613,4/24/2018,4,2018,0 Blk SANTA CATALINA AISLE
1805634,4/24/2018,4,2018,10200 Blk PINTADO
1808904,6/29/2018,6,2018,300 Blk DURANZO AISLE
1808921,6/29/2018,6,2018,0 Blk SORRENTO
1808922,6/29/2018,6,2018,3300 Blk MICHELSON DR
1812221,9/2/2018,9,2018,100 Blk MONGOOSE
1812353,9/5/2018,9,2018,0 Blk GEORGETOWN
1812387,9/5/2018,9,2018,100 Blk OUTWEST
1815537,11/7/2018,11,2018,100 Blk BODA
1900870,1/18/2019,1,2019,0 Blk BEARPAW
1900922,1/19/2019,1,2019,100 Blk VELVET FLOWER
1900959,1/20/2019,1,2019,200 Blk ROSE ARCH
1900971,1/20/2019,1,2019,200 Blk PORTICO AISLE
1900977,1/20/2019,1,2019,100 Blk MURICA AISLE
1901009,1/21/2019,1,2019,3200 Blk TELMO
1901064,1/22/2019,1,2019,100 Blk CORDIAL
1901062,1/22/2019,1,2019,100 Blk AUGUSTINE
1980157,3/26/2019,3,2019,16300 Blk PINTADO
1904118,3/27/2019,3,2019,600 Blk TURTLE CREST DR
1980367,5/25/2019,5,2019,0 Blk SHELBY
1980370,5/26/2019,5,2019,200 Blk CULTIVATE
